Output directory: traffic_runs/20260417T052916Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: checkout-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=5% browse+cart=5% full-checkout=90% (direct checkout path)
Progress: 10s/300s, requests=124, failures=0
Progress: 20s/300s, requests=240, failures=0
Progress: 30s/300s, requests=362, failures=7
Progress: 40s/300s, requests=452, failures=10
Progress: 50s/300s, requests=575, failures=10
Progress: 60s/300s, requests=662, failures=10
Progress: 110s/300s, requests=1007, failures=10
Progress: 120s/300s, requests=1085, failures=10
Progress: 130s/300s, requests=1161, failures=10
Progress: 140s/300s, requests=1223, failures=10
Progress: 150s/300s, requests=1298, failures=10
Progress: 160s/300s, requests=1399, failures=10
Progress: 170s/300s, requests=1513, failures=10
Progress: 180s/300s, requests=1623, failures=10
Progress: 190s/300s, requests=1750, failures=10
Progress: 200s/300s, requests=1867, failures=10
Progress: 210s/300s, requests=1993, failures=10
